,oxygen,pressure,lat,lon
0,287.05463137211,5.1,49.043,-131.666667
1,287.88254989490514,30.1,49.043,-131.666667
2,280.6243342938877,75.1,49.043,-131.666667
3,255.76309318582054,100.7,49.043,-131.666667
4,136.27691385540436,201.0,49.043,-131.666667
5,47.771957759951206,400.2,49.043,-131.666667
6,25.896068267865527,600.5,49.043,-131.666667
7,15.766139758525172,800.3,49.043,-131.666667
8,12.478039246434964,998.5,49.043,-131.666667
9,27.24617159326825,1499.2,49.043,-131.666667
10,58.69954322398927,1999.9,49.043,-131.666667
